0.007324,1.22E-06,0.007324,0
0.249023,-3.66E-06,0.195312,5.25E-05
0.498047,-1.22E-06,0.396728,0.000101
0.744629,2.44E-06,0.588379,0.000156
0.996094,-1.22E-06,0.787353,0.000206
1.246338,1.22E-06,0.980225,0.000267
1.495361,1.22E-06,1.176758,0.000317
1.745605,1.22E-06,1.367187,0.000381
1.994629,2.44E-06,1.566162,0.000428
2.244873,2.44E-06,1.75415,0.000492
2.493896,3.66E-06,1.945801,0.000549
2.74414,4.88E-06,2.132568,0.000615
2.994384,3.66E-06,2.32666,0.00067
3.242187,6.10E-06,2.515869,0.00073
3.493652,3.66E-06,2.702636,0.000793
3.745117,1.22E-06,2.890625,0.000854
3.99292,4.88E-06,3.078613,0.000918
4.244384,1.22E-06,3.261718,0.000984
4.492187,2.44E-06,3.443603,0.001051
4.73999,8.54E-06,3.626709,0.001117
4.990234,4.88E-06,3.808593,0.001184