0.007324,0,0.007324,0.00E+00,0.007324,0,0.007324,1.22E-08
0.223389,0.000244,0.123291,0.000126,0.021973,2.27E-05,0.007324,2.40E-06
0.450439,0.000464,0.249023,0.000247,0.045166,4.53E-05,0.007324,4.90E-06
0.676269,0.000696,0.372314,0.000375,0.067139,6.77E-05,0.008545,7.35E-06
0.904541,0.000903,0.499268,0.000496,0.090332,9.07E-05,0.010986,9.85E-06
1.132812,0.001111,0.622559,0.000624,0.112305,0.000113,0.013428,1.23E-05
1.358642,0.001343,0.748291,0.000746,0.135498,0.000136,0.014648,1.48E-05
1.585693,0.001587,0.872803,0.000872,0.157471,0.000159,0.018311,1.73E-05
1.811523,0.001819,0.997314,0.000997,0.180664,0.000182,0.020752,1.98E-05
2.038574,0.002051,1.123047,0.001121,0.202637,0.000204,0.021973,2.22E-05
2.265625,0.002271,1.247558,0.001246,0.22583,0.000227,0.025635,2.47E-05
2.493896,0.00249,1.37207,0.001373,0.247803,0.00025,0.026855,2.72E-05
2.719726,0.002734,1.497803,0.001497,0.270996,0.000273,0.030518,2.97E-05
2.946777,0.002954,1.622314,0.001622,0.292969,0.000295,0.031738,3.21E-05
3.173828,0.003186,1.746826,0.001748,0.316162,0.000318,0.03418,3.46E-05
3.402099,0.003381,1.872558,0.00187,0.339355,0.000341,0.036621,3.71E-05
3.62915,0.003613,1.99707,0.001997,0.361328,0.000364,0.039062,3.96E-05
3.856201,0.003833,2.122803,0.00212,0.384521,0.000386,0.041504,4.21E-05
3.925781,0.003906,2.246094,0.002247,0.406494,0.000409,0.043945,4.45E-05
3.923339,0.003906,2.371826,0.002372,0.429687,0.000432,0.046387,4.70E-05
3.920898,0.003906,2.496338,0.002495,0.45166,0.000454,0.048828,4.95E-05