0.007324,0,0.007324,1.22E-06,0.007324,0,0.007324,0
0.244141,3.66E-06,0.245361,3.66E-06,0.245361,3.66E-06,0.246582,1.22E-06
0.496826,0,0.499268,-3.66E-06,0.496826,1.22E-06,0.498047,-2.44E-06
0.744629,3.66E-06,0.74585,1.22E-06,0.74707,-1.22E-06,0.74585,-1.22E-06
0.994873,3.66E-06,0.997314,-1.22E-06,0.994873,2.44E-06,0.996094,0
1.246338,0,1.245117,2.44E-06,1.246338,-1.22E-06,1.245117,2.44E-06
1.495361,1.22E-06,1.49414,3.66E-06,1.496582,-1.22E-06,1.496582,0
1.693115,5.62E-05,1.746826,-1.22E-06,1.745605,2.44E-06,1.746826,-1.22E-06
1.759033,0.000237,1.995849,-1.22E-06,1.995849,-1.22E-06,1.995849,0
1.78833,0.000458,2.244873,2.44E-06,2.243652,3.66E-06,2.244873,1.22E-06
1.80664,0.000687,2.492676,3.66E-06,2.452392,4.39E-05,2.46582,3.17E-05
1.818847,0.000927,2.723388,2.32E-05,2.524414,0.000223,2.58667,0.000161
1.829834,0.001165,2.857666,0.00014,2.554931,0.000442,2.646484,0.00035
1.838379,0.001404,2.907715,0.000337,2.575683,0.000668,2.684326,0.00056
1.845703,0.001647,2.93457,0.000559,2.591552,0.000903,2.712402,0.000782
1.851806,0.00189,2.955322,0.00079,2.60498,0.001139,2.734375,0.00101
1.85791,0.002133,2.971191,0.001025,2.617187,0.001376,2.753906,0.00124
1.864013,0.002377,2.98706,0.001256,2.628174,0.001616,2.770996,0.001472
1.868896,0.002621,2.999267,0.001494,2.637939,0.001853,2.785644,0.001705
1.873779,0.002865,3.011474,0.001732,2.647705,0.002094,2.797851,0.001945
1.878662,0.003109,3.02124,0.00197,2.65625,0.002332,2.811279,0.002179